time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,or_high,or_low,or_width_atr,break_depth_atr,reclaim_atr,reclaim_gmt_hour,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1743708600,1743720553,BUY,21864.38,21656.08,22072.68,21655.83,-1.0012,0.0598,-0.9916,FORB,16,4,Late,22094.38,21814.38,3.8617,1.8833,0.6896,16,-4.0887,90.2000,0.6806,1.2550,-1
1744199100,1744207223,BUY,19690.53,19498.04,19883.02,19491.68,-1.0330,0.9021,-0.9863,FORB,8,3,London,20029.68,19574.68,2.9266,0.1930,0.7452,8,-2.4756,82.8000,0.5481,0.9101,-1
1744370100,1744371198,BUY,20523.23,20352.93,20693.53,20350.28,-1.0156,0.0185,-0.9974,FORB,8,5,London,20826.28,20467.38,3.6563,0.8659,0.5690,8,-0.3059,35.6000,0.3066,0.3973,1
1744803000,1744827774,BUY,21101.53,20932.35,21270.71,21271.53,1.0048,0.9824,-0.0757,FORB,8,3,London,21143.88,20992.73,2.1210,0.5473,1.5267,8,1.2492,42.8000,0.1456,0.3122,1
1744889400,1744895934,BUY,21251.18,21180.07,21322.29,21177.83,-1.0315,0.5548,-0.9921,FORB,8,4,London,21442.63,21236.63,3.3745,0.6266,0.2383,8,1.9989,49.0000,0.3772,0.6225,1
1745331300,1745332223,BUY,21077.98,21039.19,21116.77,21117.43,1.0170,0.9912,-0.2978,FORB,11,2,Midday,21184.78,21075.63,2.2993,0.4676,0.0495,11,-1.4785,33.6000,0.5401,1.3461,1
1745493300,1745495764,BUY,21772.48,21732.42,21812.54,21814.73,1.0547,0.9848,-0.9124,FORB,8,4,London,21922.23,21756.93,3.9025,0.2786,0.3671,8,2.3179,34.6000,0.2254,0.4250,1
1745839803,1745840520,BUY,22324.98,22288.87,22361.09,22361.43,1.0094,0.9762,-0.2645,FORB,8,1,London,22392.43,22311.13,2.2667,0.3206,0.3861,8,5.9297,28.6000,0.2382,0.3834,1
1745925300,1745925440,BUY,22366.58,22346.57,22386.59,22387.03,1.0220,0.9220,-0.4773,FORB,8,2,London,22438.83,22363.53,2.3375,0.2266,0.0947,8,3.7856,29.2000,0.2564,0.5898,1
1746015300,1746018198,BUY,22531.28,22481.97,22580.59,22581.73,1.0231,0.9420,-0.3965,FORB,9,3,London,22616.23,22500.23,2.6859,0.1227,0.7189,9,3.4240,71.4000,0.1880,0.3473,1
1746558900,1747039555,BUY,23285.78,22847.99,23723.57,23724.18,1.0014,0.9945,-0.5659,FORB,16,2,Late,23441.03,23250.43,4.3199,8.8211,0.8012,16,3.9165,84.8000,0.8512,0.4533,1
1747049400,1747053076,BUY,23695.38,23602.28,23788.48,23788.83,1.0038,0.9930,-0.0166,FORB,8,1,London,23927.83,23691.53,3.6252,1.0693,0.0591,8,3.3921,98.2000,0.1821,0.1227,1
1747135800,1747143084,BUY,23576.28,23533.17,23619.39,23619.73,1.0079,0.9847,-0.4535,FORB,8,2,London,23638.23,23563.23,1.7914,0.4180,0.3117,8,0.7815,73.0000,0.3138,0.2866,1
1747222200,1747223321,BUY,23595.78,23567.56,23624.00,23563.23,-1.1534,0.1577,-0.9408,FORB,8,3,London,23709.23,23583.23,3.2385,0.1028,0.3226,8,0.5056,64.2000,0.3255,0.4241,1
1747410301,1747410423,BUY,23778.18,23754.69,23801.67,23754.63,-1.0026,0.0000,-0.9174,FORB,12,5,Midday,23890.13,23766.63,4.1463,0.1007,0.3878,12,4.1559,49.8000,1.6864,0.4700,1
1747656900,1747657964,BUY,23701.58,23673.75,23729.41,23730.03,1.0223,0.9863,-0.3791,FORB,9,1,London,23770.53,23690.03,2.3499,0.1751,0.3372,9,0.0042,68.2000,0.1923,0.2919,1
1747836000,1747846160,BUY,23966.08,23864.62,24067.54,24068.53,1.0098,0.9802,-0.0251,FORB,11,3,Midday,24050.53,23947.03,2.8468,1.9666,0.5240,10,0.4504,88.4000,0.6904,0.6601,1
1747913400,1747919185,BUY,23962.08,23884.40,24039.76,23882.53,-1.0241,0.3405,-0.9983,FORB,8,4,London,24044.23,23912.23,3.4957,0.4370,1.3202,8,-0.2288,87.6000,0.5073,0.2648,1
1748004300,1748009992,BUY,24050.28,23993.68,24106.88,23986.03,-1.1352,0.7853,-0.9055,FORB,9,5,London,24137.73,24013.73,2.8506,0.1609,0.8402,9,1.0514,95.4000,0.3204,0.1609,1
1748519100,1748531110,BUY,24152.08,24077.27,24226.89,24076.53,-1.0099,0.6610,-0.9832,FORB,8,4,London,24301.53,24140.53,2.7979,0.7994,0.2007,8,-0.3560,94.4000,0.2968,0.3649,1
1748883600,1748883642,BUY,23807.73,23755.52,23859.94,23746.03,-1.1818,0.0000,-0.9519,FORB,14,1,USOverlap,23998.53,23771.53,4.6942,0.0310,0.7486,13,-4.0845,82.2000,1.0185,0.8065,-1
1749042900,1749043671,BUY,24230.58,24200.20,24260.96,24261.03,1.0023,0.9694,-0.3802,FORB,10,3,London,24315.03,24215.98,2.1493,0.0423,0.3168,10,3.0847,81.2000,0.2515,0.6000,1
1749141000,1749142002,BUY,24284.98,24236.56,24333.40,24234.33,-1.0461,0.4471,-0.9634,FORB,13,4,USOverlap,24347.68,24254.63,1.9837,0.0853,0.6470,13,1.3979,81.6000,0.8802,0.5116,1
1749480300,1749480365,BUY,24167.08,24154.26,24179.90,24153.73,-1.0413,0.1287,-0.9633,FORB,11,1,Midday,24308.03,24163.53,5.1183,0.0283,0.1257,11,-3.2290,46.0000,2.7918,1.5939,1
1749566702,1749616013,BUY,24100.68,23956.84,24244.52,23956.58,-1.0018,0.2256,-0.9921,FORB,11,2,Midday,24191.13,24099.18,2.4427,3.4814,0.0398,11,-2.6746,72.6000,2.5977,0.7704,-1
1749660300,1749660718,BUY,23977.18,23955.25,23999.11,24000.63,1.0693,0.9781,-0.8459,FORB,13,3,USOverlap,24062.63,23974.63,1.7170,0.0780,0.0498,13,-2.1634,97.2000,0.8400,0.4887,-1
1749726900,1749729830,BUY,23668.68,23610.28,23727.08,23728.13,1.0180,0.9837,-0.6772,FORB,8,4,London,23818.13,23641.13,4.4794,0.4808,0.6972,8,-7.7616,79.8000,0.1689,0.1772,-1
1749815100,1749815148,BUY,23403.18,23372.06,23434.30,23370.33,-1.0556,0.1109,-0.9913,FORB,8,5,London,23550.63,23396.63,2.2461,0.0583,0.0955,8,-5.0900,98.0000,0.3866,0.3909,-1
1750246200,1750247221,BUY,23418.28,23401.04,23435.52,23435.93,1.0238,0.9658,-0.4263,FORB,8,3,London,23501.23,23416.63,2.1904,0.1036,0.0427,8,-1.6362,63.6000,0.2935,0.5489,-1
1750353300,1750357251,BUY,23142.18,23081.79,23202.57,23080.33,-1.0242,0.2426,-0.9993,FORB,14,4,USOverlap,23218.63,23120.83,2.4361,0.6725,0.5318,14,-4.8697,64.2000,0.9709,0.5978,-1
1750690800,1750710630,BUY,23197.08,23065.75,23328.41,23329.73,1.0101,0.9948,-0.5433,FORB,12,1,Midday,23369.73,23184.78,3.7027,2.0831,0.2462,11,-1.5168,93.8000,1.8247,0.8909,-1
1750785300,1750786435,BUY,23621.68,23570.44,23672.92,23674.33,1.0275,0.9885,-0.0654,FORB,14,2,USOverlap,23749.33,23604.63,3.1935,0.4546,0.3763,14,3.8833,85.0000,1.0375,1.0814,1
1750850100,1750850656,BUY,23638.88,23610.92,23666.84,23610.53,-1.0139,0.1663,-0.9782,FORB,8,3,London,23733.53,23625.23,3.7735,0.1986,0.4756,8,2.7402,27.6000,0.1521,0.2091,1
1750952700,1750956447,BUY,23592.18,23538.11,23646.25,23537.83,-1.0052,0.3079,-0.9867,FORB,12,4,Midday,23659.83,23578.53,2.3403,0.8636,0.3929,12,0.7603,53.0000,1.6459,1.0651,1
1751031900,1751036314,BUY,23803.98,23770.23,23837.73,23838.63,1.0267,0.9970,-0.6326,FORB,10,5,London,23873.63,23796.63,2.0263,0.3947,0.1934,10,3.6114,68.0000,0.6746,0.8829,1
1751371200,1751373077,BUY,23870.98,23805.90,23936.06,23805.33,-1.0088,0.1636,-0.9888,FORB,9,2,London,23985.63,23865.63,3.0814,1.2339,0.1374,8,-0.9751,77.4000,0.1834,0.1798,1
1751472900,1751534537,BUY,23743.38,23607.95,23878.81,23878.93,1.0009,0.9935,-0.3939,FORB,13,3,USOverlap,23837.83,23710.53,3.1608,2.2471,0.8156,13,-1.7340,88.4000,1.1540,0.7697,-1
1751557500,1751628758,BUY,23870.78,23750.68,23990.88,23750.53,-1.0012,0.6965,-0.9929,FORB,12,4,Midday,23895.93,23828.93,1.9606,1.9898,1.2246,12,1.5845,73.2000,1.1641,0.4682,-1
1751628758,1751628787,BUY,23751.88,23740.68,23763.08,23740.53,-1.0134,0.0000,-0.9241,FORB,8,5,London,23871.28,23767.53,2.8677,0.4423,-0.4326,8,-2.4735,77.4000,0.2024,0.2101,1
1752147900,1752156277,BUY,24623.48,24563.09,24683.87,24562.13,-1.0159,0.0000,-0.9993,FORB,8,4,London,24652.13,24589.13,2.1023,0.5689,1.1462,8,8.4749,62.6000,0.2140,0.2670,1
1752503400,1752503825,BUY,23996.88,23967.80,24025.96,24026.53,1.0196,0.9852,-0.4247,FORB,11,1,Midday,24101.53,23987.53,3.5154,0.3084,0.2883,11,-7.5115,79.8000,0.8325,1.5419,-1
1752589800,1752591618,BUY,24185.48,24158.40,24212.56,24158.03,-1.0137,0.4376,-0.9767,FORB,11,2,Midday,24261.33,24178.53,2.7812,0.3762,0.2334,11,-0.9813,63.4000,0.7111,1.0345,-1
1752751800,1752758026,BUY,24235.88,24185.24,24286.52,24182.53,-1.0535,0.1511,-0.9943,FORB,8,4,London,24321.53,24206.53,3.0553,0.2657,0.7798,8,2.0227,88.0000,0.2322,0.1328,1
1752844500,1752844750,BUY,24438.68,24414.81,24462.55,24414.33,-1.0201,0.0272,-0.9363,FORB,10,5,London,24502.33,24433.33,2.1742,0.2836,0.1686,10,4.3310,75.8000,0.3954,0.3230,1
1753103700,1753104486,BUY,24257.18,24236.63,24277.73,24235.83,-1.0389,0.0316,-0.9903,FORB,10,1,London,24343.13,24252.83,2.9448,0.2283,0.1419,10,-0.7660,66.8000,0.2753,1.0354,-1
1753182900,1753185703,BUY,24173.98,24103.81,24244.15,24103.63,-1.0026,0.2230,-0.9883,FORB,8,2,London,24251.43,24133.13,3.6142,0.5957,1.2480,8,-2.6241,77.2000,0.4007,1.2526,-1
1753281900,1753296878,BUY,24204.28,24120.27,24288.29,24288.93,1.0076,0.9719,-0.9207,FORB,11,3,Midday,24322.73,24164.93,3.7393,0.7583,0.9325,11,0.0424,91.4000,3.1750,1.2014,-1
1753361100,1753361954,BUY,24455.08,24413.82,24496.34,24412.73,-1.0264,0.0000,-0.9779,FORB,9,4,London,24524.53,24442.73,1.9014,0.3719,0.2871,9,2.7258,89.6000,0.2209,0.3952,1
1753442101,1753444441,BUY,24102.98,24055.41,24150.55,24151.63,1.0227,0.9807,-0.1335,FORB,8,5,London,24181.93,24071.63,2.9481,0.1336,0.8379,8,-5.3440,79.8000,0.1859,0.1336,-1
1753702200,1753704387,BUY,24320.98,24285.51,24356.45,24284.63,-1.0248,0.8359,-0.9966,FORB,8,1,London,24518.43,24308.63,4.1639,0.1588,0.2451,8,-0.0718,95.8000,0.1764,0.1866,1
1753965900,1753969957,BUY,24318.18,24261.03,24375.33,24255.83,-1.0910,0.8513,-0.9860,FORB,9,4,London,24438.83,24315.83,2.4935,0.8109,0.0476,9,0.9887,93.6000,0.2275,0.6284,1
1754052300,1754056345,BUY,23683.48,23593.63,23773.33,23593.13,-1.0056,0.3411,-0.9944,FORB,9,5,London,23848.13,23660.13,3.3770,0.8945,0.4194,9,-7.4974,99.6000,0.1943,0.3233,-1
1754392500,1754392875,BUY,23830.68,23802.75,23858.61,23858.93,1.0115,0.9470,-0.0555,FORB,8,2,London,23940.13,23822.33,3.3412,0.2553,0.2368,8,0.8034,58.8000,0.2498,0.4992,-1
1754506801,1754564484,BUY,23954.08,23796.75,24111.41,24112.63,1.0078,0.9950,-0.3245,FORB,16,3,Late,24006.53,23947.73,1.4973,3.5446,0.1617,15,2.1018,69.6000,0.7245,1.2987,1
