time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,vwap_dist_atr,vwap_ext_atr,reclaim_atr,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1744370100,1744371198,BUY,20523.23,20352.93,20693.53,20350.28,-1.0156,0.0185,-0.9974,VWAPX,8,5,London,-0.8155,2.2505,0.6845,-0.3059,35.6000,3.1135,1.6402,1
1744658100,1744658362,BUY,20815.83,20754.11,20877.55,20879.58,1.0329,0.9681,-0.0543,VWAPX,16,1,Late,-1.2148,1.8105,0.2852,1.9302,17.0000,0.9341,0.8685,1
1744712100,1744714619,BUY,21116.78,21011.30,21222.26,21226.48,1.0400,0.9997,-0.0811,VWAPX,7,2,Frankfurt,0.3957,2.0137,1.8957,8.5465,7.0000,6.0462,2.0999,1
1744802100,1744802790,BUY,20972.28,20940.51,21004.05,21004.73,1.0214,0.9899,-0.5839,VWAPX,8,3,London,-1.2838,1.5373,0.2162,-0.6858,31.0000,1.7699,1.2416,1
1744889400,1744895934,BUY,21251.18,21180.07,21322.29,21177.83,-1.0315,0.5548,-0.9921,VWAPX,8,4,London,-1.0131,1.8780,0.4869,1.9989,49.0000,1.6488,0.3931,1
1745331300,1745332223,BUY,21077.98,21039.19,21116.77,21117.43,1.0170,0.9912,-0.2978,VWAPX,11,2,Midday,-1.2663,1.7835,0.2337,-1.4785,33.6000,1.0194,0.9269,1
1745419500,1745421871,BUY,21805.58,21771.83,21839.33,21771.03,-1.0237,0.5763,-0.9052,VWAPX,11,3,Midday,-1.1833,1.5962,0.3167,7.8615,39.0000,0.9280,0.7814,1
1745490600,1745490822,BUY,21827.48,21801.37,21853.59,21799.93,-1.0552,0.2087,-0.9020,VWAPX,7,4,Frankfurt,-1.1745,1.6023,0.3255,4.3512,22.2000,3.2340,1.6303,1
1745943300,1745945406,BUY,22364.58,22313.39,22415.77,22426.03,1.2004,0.9465,-0.4796,VWAPX,13,2,USOverlap,-1.1618,2.1815,0.3382,2.2732,47.0000,1.8221,1.1602,1
1746008100,1746027108,BUY,22578.78,22492.76,22664.80,22489.43,-1.0387,0.4354,-0.9945,VWAPX,7,3,Frankfurt,1.0392,2.1168,2.5392,8.3932,19.8000,5.8295,2.7723,1
1746440100,1746443915,BUY,23131.28,23062.58,23199.98,23202.13,1.0313,0.9876,-0.3282,VWAPX,7,1,Frankfurt,0.6657,1.5019,2.1657,12.0222,34.6000,4.7255,1.1134,1
1746526500,1746527356,BUY,23320.78,23292.66,23348.90,23289.43,-1.1149,0.8339,-0.9868,VWAPX,7,2,Frankfurt,-1.0662,1.6475,0.4338,7.2478,46.2000,6.1819,2.3816,1
1746637200,1746651971,BUY,23168.58,23089.76,23247.40,23089.03,-1.0093,0.4624,-0.9839,VWAPX,14,3,USOverlap,-1.1727,2.7998,0.3273,-0.2503,71.4000,2.1717,0.5868,1
1746699300,1746706568,BUY,23296.98,23231.22,23362.74,23363.23,1.0075,0.9953,-0.9177,VWAPX,7,4,Frankfurt,0.5678,1.5350,2.0678,3.7209,31.8000,5.2135,1.3520,1
1746785700,1746789553,BUY,23505.38,23443.78,23566.98,23442.83,-1.0154,0.3969,-0.9830,VWAPX,7,5,Frankfurt,0.4551,1.5412,1.9551,7.3535,27.8000,5.3728,1.7148,1
1747044900,1747047983,BUY,23901.38,23690.89,24111.87,23689.53,-1.0065,0.0178,-0.9970,VWAPX,7,1,Frankfurt,1.6229,3.8480,3.1229,12.0920,61.8000,8.3911,5.2365,1
1747218600,1747219407,BUY,23617.78,23586.80,23648.76,23584.93,-1.0604,0.8538,-0.9635,VWAPX,7,3,Frankfurt,-1.2749,1.9607,0.2251,1.3627,40.8000,3.1661,1.7504,1
1747649700,1747666109,BUY,23728.58,23682.60,23774.56,23775.53,1.0211,0.9993,-0.9689,VWAPX,7,1,Frankfurt,-0.0114,1.5671,1.4886,1.1819,40.6000,5.3027,1.4529,1
1747737900,1747738024,BUY,23926.78,23909.35,23944.21,23908.93,-1.0241,0.0832,-0.9667,VWAPX,7,2,Frankfurt,-1.3373,1.7269,0.1627,3.6386,46.4000,2.2198,1.3448,1
1747835100,1747837422,BUY,23932.08,23864.84,23999.32,24000.53,1.0180,0.9883,-0.0379,VWAPX,10,3,London,-1.2254,2.8120,0.2746,-0.4903,87.0000,0.9283,1.0942,1
1747910700,1747912261,BUY,23933.78,23912.00,23955.56,23910.73,-1.0583,0.6864,-0.9894,VWAPX,7,4,Frankfurt,-1.4488,1.8566,0.0512,-1.2377,64.2000,3.4001,1.1298,1
1747995300,1747998361,BUY,24073.28,24007.32,24139.24,24139.73,1.0074,0.9771,-0.1145,VWAPX,7,5,Frankfurt,0.6650,2.1233,2.1650,3.6733,35.8000,5.1949,2.7625,1
1748274302,1748277243,BUY,23984.78,23956.67,24012.89,24013.23,1.0121,0.9765,-0.8022,VWAPX,12,1,Midday,-0.7454,1.5604,0.7546,2.3071,39.8000,1.0532,1.2691,1
1748437200,1748445428,BUY,24200.88,24123.16,24278.60,24122.33,-1.0107,0.2503,-0.9978,VWAPX,10,3,London,-1.1484,2.7640,0.3516,1.5843,84.0000,0.9730,0.9613,1
1748519100,1748531110,BUY,24152.08,24077.27,24226.89,24076.53,-1.0099,0.6610,-0.9832,VWAPX,8,4,London,-0.6687,1.6688,0.8313,-0.3560,94.4000,1.5830,1.5467,1
1748618100,1748621129,BUY,24064.08,24005.63,24122.53,24123.03,1.0086,0.9914,-0.6510,VWAPX,12,5,Midday,-0.9960,2.1692,0.5040,-0.4205,74.0000,2.7094,1.3231,-1
1748859300,1748860080,BUY,23963.08,23830.38,24095.78,23828.53,-1.0139,0.1164,-0.9913,VWAPX,7,1,Frankfurt,0.7858,2.4857,2.2858,-2.0689,61.2000,5.6203,2.7184,-1
1748945700,1748945879,BUY,24026.08,23996.99,24055.17,23994.53,-1.0846,0.4280,-0.9471,VWAPX,7,2,Frankfurt,-0.2405,1.5152,1.2595,0.8952,22.6000,6.6621,1.4614,-1
1749118500,1749120894,BUY,24293.98,24250.24,24337.72,24338.68,1.0219,0.9979,-0.3509,VWAPX,7,4,Frankfurt,0.4151,2.2722,1.9151,7.7870,12.6000,7.6209,2.6634,1
1749204900,1749205702,BUY,24286.48,24244.96,24328.00,24244.13,-1.0200,0.0397,-0.9947,VWAPX,7,5,Frankfurt,-0.1148,1.5512,1.3852,1.6578,34.8000,6.1575,1.0036,1
1749464100,1749464215,BUY,24222.88,24194.10,24251.66,24253.53,1.0650,0.9955,-0.3596,VWAPX,7,1,Frankfurt,-0.9549,1.9979,0.5451,-2.1609,36.4000,7.7698,2.1000,1
1749555900,1749556462,BUY,24028.68,23977.77,24079.59,23977.13,-1.0126,0.0000,-0.9929,VWAPX,8,2,London,-1.4246,2.0999,0.0754,-3.6409,91.2000,1.5643,2.5670,-1
1749636900,1749655803,BUY,24046.18,23965.19,24127.17,24157.98,1.3804,0.6655,-0.8834,VWAPX,7,3,Frankfurt,0.5996,1.6739,2.0996,-1.7061,61.2000,6.6715,2.2560,-1
1749723300,1749724036,BUY,23802.68,23749.05,23856.31,23745.13,-1.0731,0.2508,-0.9799,VWAPX,7,4,Frankfurt,0.4606,1.5107,1.9606,-7.7973,39.2000,6.4205,0.8893,-1
1749816000,1749816104,BUY,23394.18,23336.87,23451.49,23451.63,1.0024,0.9850,-0.0794,VWAPX,9,5,London,-1.0946,1.5958,0.4054,-4.9550,98.4000,1.3416,1.1744,-1
1750070700,1750070921,BUY,23532.48,23498.18,23566.78,23566.93,1.0044,0.9752,-0.5117,VWAPX,7,1,Frankfurt,-0.9452,1.5437,0.5548,-1.9145,69.6000,2.8538,1.2836,-1
1750156200,1750157013,BUY,23360.88,23305.04,23416.72,23418.53,1.0324,0.9966,-0.3286,VWAPX,7,2,Frankfurt,-1.0075,1.9490,0.4925,-4.9808,80.8000,3.9420,1.7563,-1
1750257900,1750264208,BUY,23379.28,23278.44,23480.12,23277.63,-1.0080,0.2444,-0.9852,VWAPX,11,3,Midday,-0.8979,2.8916,0.6021,-2.0957,76.8000,0.7444,1.0463,-1
1750348800,1750350202,BUY,23149.68,23118.11,23181.25,23181.83,1.0184,0.9709,-0.2487,VWAPX,13,4,USOverlap,-1.2273,1.8111,0.2727,-5.5382,46.2000,1.1245,1.0779,-1
1750673700,1750676351,BUY,23271.73,23175.38,23368.08,23368.73,1.0067,0.9549,-0.3736,VWAPX,7,1,Frankfurt,0.7718,2.0033,2.2718,0.0426,31.4000,6.3067,2.2501,-1
