InpStartHour,InpEndHour,InpEndMinute,InpFvgMaxAgeBars,InpRiskPercent,total_trades,win_rate,profit_factor,max_drawdown,max_consecutive_losses,sharpe_ratio
10.0,15.0,32.0,4.0,0.5194,28,0.2857,0.78,0.0517,7,-2.33
8.0,6.0,23.0,2.0,0.3096,0,0.0,0.0,1.0,0,0.0
8.0,15.0,43.0,3.0,0.7143,27,0.2963,0.83,0.0763,5,-1.75
11.0,6.0,20.0,1.0,0.4885,0,0.0,0.0,1.0,0,0.0
11.0,12.0,36.0,4.0,0.3743,9,0.3333,0.98,0.0148,4,-0.02
4.0,9.0,29.0,2.0,0.5785,24,0.125,0.28,0.0837,14,-5.0
6.0,11.0,18.0,2.0,0.5454,22,0.3182,0.92,0.0484,7,-1.0
12.0,10.0,41.0,4.0,0.2516,0,0.0,0.0,1.0,0,0.0
10.0,14.0,23.0,1.0,0.3854,0,0.0,0.0,1.0,0,0.0
7.0,7.0,30.0,3.0,0.6617,3,0.3333,0.99,0.0132,2,0.0
6.0,13.0,25.0,4.0,0.4533,33,0.303,0.84,0.0556,6,-1.59
9.0,8.0,32.0,2.0,0.7491,0,0.0,0.0,1.0,0,0.0
13.0,16.0,16.0,3.0,0.6133,10,0.4,1.22,0.0148,2,0.37
6.0,5.0,39.0,2.0,0.3391,0,0.0,0.0,1.0,0,0.0
5.0,14.0,34.0,1.0,0.287,0,0.0,0.0,1.0,0,0.0
12.0,7.0,27.0,3.0,0.5107,0,0.0,0.0,1.0,0,0.0
10.0,11.0,45.0,2.0,0.6269,6,0.3333,1.01,0.0185,3,0.0
7.0,10.0,22.0,3.0,0.4207,12,0.4167,1.42,0.0167,4,1.91
8.0,14.0,30.0,3.0,0.5562,30,0.3333,0.97,0.0542,10,-0.35
10.0,7.0,37.0,1.0,0.2721,0,0.0,0.0,1.0,0,0.0
11.0,11.0,19.0,4.0,0.404,1,0.0,0.0,0.0047,1,-0.19
5.0,10.0,42.0,2.0,0.6744,27,0.1111,0.24,0.1267,15,-5.0
6.0,13.0,31.0,2.0,0.6996,26,0.2692,0.72,0.0496,4,-4.6
12.0,8.0,24.0,3.0,0.4719,0,0.0,0.0,1.0,0,0.0
9.0,15.0,40.0,1.0,0.3518,0,0.0,0.0,1.0,0,0.0
6.0,6.0,17.0,3.0,0.5697,6,0.3333,0.99,0.0114,2,-0.01
7.0,12.0,38.0,3.0,0.2997,30,0.4,1.31,0.027,6,2.75
9.0,9.0,15.0,2.0,0.5293,1,1.0,0.0,0.0,0,0.1
12.0,14.0,33.0,3.0,0.6474,6,0.5,1.97,0.0129,2,0.85
6.0,7.0,26.0,1.0,0.4315,0,0.0,0.0,1.0,0,0.0
4.0,15.0,21.0,2.0,0.4445,39,0.4103,1.36,0.035,8,4.16
11.0,6.0,44.0,3.0,0.7267,0,0.0,0.0,1.0,0,0.0
11.0,12.0,28.0,2.0,0.5968,3,0.6667,3.84,0.006,1,0.25
8.0,9.0,35.0,4.0,0.3244,8,0.125,0.28,0.0162,5,-2.4
8.0,12.0,17.0,1.0,0.6676,0,0.0,0.0,1.0,0,0.0
10.0,9.0,39.0,3.0,0.3794,0,0.0,0.0,1.0,0,0.0
11.0,15.0,25.0,2.0,0.2652,15,0.4,1.27,0.0114,4,0.79
4.0,6.0,32.0,4.0,0.5319,10,0.3,0.85,0.0366,7,-0.47
5.0,15.0,44.0,4.0,0.592,48,0.375,1.18,0.0692,9,1.87
12.0,6.0,22.0,2.0,0.3607,0,0.0,0.0,1.0,0,0.0
9.0,11.0,34.0,3.0,0.4945,15,0.3333,0.99,0.0249,5,-0.05
7.0,10.0,26.0,1.0,0.7083,0,0.0,0.0,1.0,0,0.0
7.0,16.0,36.0,2.0,0.4072,47,0.2766,0.75,0.0426,7,-3.76
9.0,5.0,28.0,4.0,0.6405,0,0.0,0.0,1.0,0,0.0
13.0,13.0,42.0,2.0,0.5047,3,0.6667,3.92,0.0051,1,0.25
6.0,8.0,20.0,3.0,0.293,10,0.2,0.5,0.0174,5,-2.1
5.0,11.0,23.0,3.0,0.3331,34,0.2059,0.51,0.0432,8,-5.0
12.0,10.0,31.0,1.0,0.6193,0,0.0,0.0,1.0,0,0.0
10.0,14.0,18.0,3.0,0.7356,16,0.5,1.92,0.0151,2,2.43
8.0,7.0,41.0,2.0,0.4669,0,0.0,0.0,1.0,0,0.0
8.0,15.0,17.0,4.0,0.2665,34,0.3824,1.22,0.0237,9,1.61
10.0,6.0,40.0,2.0,0.5623,0,0.0,0.0,1.0,0,0.0
12.0,13.0,24.0,3.0,0.6766,5,0.2,0.5,0.0268,4,-0.52
5.0,8.0,32.0,2.0,0.4022,10,0.4,1.33,0.008,2,1.17
6.0,11.0,41.0,1.0,0.4736,0,0.0,0.0,1.0,0,0.0
13.0,10.0,19.0,3.0,0.6974,0,0.0,0.0,1.0,0,0.0
9.0,13.0,37.0,2.0,0.5636,14,0.2857,0.75,0.0388,7,-0.95
7.0,8.0,29.0,3.0,0.3575,4,0.25,0.66,0.0107,3,-0.39
7.0,12.0,35.0,3.0,0.5271,20,0.35,1.06,0.0311,6,0.45
9.0,8.0,27.0,1.0,0.3014,0,0.0,0.0,1.0,0,0.0
12.0,15.0,43.0,4.0,0.4371,18,0.3889,1.19,0.0264,5,0.93
5.0,6.0,21.0,2.0,0.6414,5,0.2,0.5,0.0191,3,-0.4
4.0,14.0,26.0,2.0,0.7328,38,0.3158,0.9,0.0649,5,-1.17
11.0,7.0,33.0,4.0,0.4389,0,0.0,0.0,1.0,0,0.0
10.0,12.0,16.0,2.0,0.3227,11,0.4545,1.66,0.0096,3,1.76
8.0,9.0,38.0,3.0,0.5989,9,0.5556,2.5,0.0237,4,2.68
8.0,11.0,27.0,2.0,0.3777,11,0.5455,2.38,0.0113,3,2.36
10.0,10.0,34.0,3.0,0.6699,1,1.0,0.0,0.0,0,0.65
11.0,15.0,22.0,1.0,0.538,0,0.0,0.0,1.0,0,0.0
5.0,7.0,45.0,3.0,0.2596,15,0.2667,0.72,0.0105,3,-3.47
6.0,15.0,32.0,3.0,0.3664,46,0.3696,1.15,0.0328,8,1.74
12.0,6.0,25.0,2.0,0.5859,0,0.0,0.0,1.0,0,0.0
9.0,12.0,39.0,4.0,0.7061,18,0.6111,3.05,0.021,3,7.23
7.0,9.0,16.0,2.0,0.4962,13,0.0769,0.17,0.0532,11,-5.0
