time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,gmt_hour,weekday,session_bucket,vwap_dist_atr,vwap_ext_atr,reclaim_atr,f_price_ema200,f_atr_pct,f_rel_vol,f_disp,f_h1_bias
1748274302,1748277243,BUY,23984.78,23956.67,24012.89,24013.23,1.0121,0.9765,-0.8022,VWAPX,12,1,Midday,-0.7454,1.5604,0.7546,2.3071,39.8000,1.7120,0.8725,1
1748618100,1748621129,BUY,24064.08,24005.63,24122.53,24123.03,1.0086,0.9914,-0.6510,VWAPX,12,5,Midday,-0.9960,2.1692,0.5040,-0.4205,74.0000,1.4595,1.6256,-1
1749464100,1749464215,BUY,24222.88,24194.10,24251.66,24253.53,1.0650,0.9955,-0.3596,VWAPX,7,1,Frankfurt,-0.9549,1.9979,0.5451,-2.1609,36.4000,0.6499,1.2227,1
1750156200,1750157013,BUY,23360.88,23305.04,23416.72,23418.53,1.0324,0.9966,-0.3286,VWAPX,7,2,Frankfurt,-1.0075,1.9490,0.4925,-4.9808,80.8000,0.7012,0.9426,-1
1750257900,1750264208,BUY,23379.28,23278.44,23480.12,23277.63,-1.0080,0.2444,-0.9852,VWAPX,11,3,Midday,-0.8979,2.8916,0.6021,-2.0957,76.8000,2.3811,1.2738,-1
1750348800,1750350202,BUY,23149.68,23118.11,23181.25,23181.83,1.0184,0.9709,-0.2487,VWAPX,13,4,USOverlap,-1.2273,1.8111,0.2727,-5.5382,46.2000,1.2819,1.4279,-1
1751033700,1751034816,BUY,23792.98,23774.75,23811.21,23811.63,1.0230,0.9682,-0.5677,VWAPX,11,5,Midday,-1.3355,1.5891,0.1645,3.7519,49.0000,0.6341,1.1236,1
1751472000,1751477152,BUY,23704.38,23608.44,23800.32,23804.03,1.0387,0.9866,-0.1496,VWAPX,13,3,USOverlap,-1.0630,3.2464,0.4370,-2.8358,84.6000,1.2116,0.8024,-1
1751987700,1751990940,BUY,24111.68,24075.72,24147.64,24148.33,1.0192,0.9914,-0.9358,VWAPX,12,2,Midday,-0.3942,1.5111,1.1058,5.8831,43.0000,1.6111,1.4183,1
1752589800,1752591618,BUY,24185.48,24158.40,24212.56,24158.03,-1.0137,0.4376,-0.9767,VWAPX,11,2,Midday,-1.1852,1.7948,0.3148,-0.9813,63.4000,0.7111,1.0345,-1
1753093800,1753094431,BUY,24308.18,24277.28,24339.08,24275.83,-1.0469,0.0000,-0.9822,VWAPX,7,1,Frankfurt,-0.4125,1.5269,1.0875,1.2876,37.8000,0.2961,0.8421,-1
1753460100,1753464870,BUY,24134.98,24071.59,24198.37,24203.63,1.0830,0.9883,-0.2737,VWAPX,13,5,USOverlap,0.3037,1.7627,1.8037,-5.1927,46.4000,1.7281,0.9333,-1
1754046000,1754047620,BUY,23689.48,23646.82,23732.14,23642.13,-1.1099,0.7654,-0.9693,VWAPX,8,5,London,-1.0850,1.7465,0.4150,-9.9950,87.0000,0.0667,0.9691,-1
1755108001,1755109034,BUY,24180.28,24153.31,24207.25,24153.13,-1.0067,0.5061,-0.9696,VWAPX,15,3,USOverlap,-0.9141,1.5314,0.5859,1.4543,55.2000,0.6235,0.8844,1
1755281700,1755511299,BUY,24390.73,24322.07,24459.39,24321.53,-1.0079,0.9554,-0.9933,VWAPX,15,5,USOverlap,-1.3540,3.2774,0.1460,1.8745,67.8000,0.8184,1.2305,1
1755711900,1755715663,BUY,24255.48,24215.05,24295.91,24295.93,1.0005,0.9758,-0.7309,VWAPX,14,3,USOverlap,-1.3850,2.3128,0.1150,-2.4362,84.8000,0.6863,0.8807,-1
1756735200,1756751465,BUY,24001.78,23965.65,24037.91,24038.23,1.0089,0.9812,-0.4857,VWAPX,11,1,Midday,-0.6200,1.5837,0.8800,-0.7397,57.6000,0.7279,1.2366,-1
1757342700,1757343548,BUY,23729.08,23702.84,23755.32,23702.53,-1.0118,0.0000,-0.9737,VWAPX,11,1,Midday,-1.1610,1.8844,0.3390,-0.2800,49.2000,2.5016,0.8189,-1
1757957400,1758018327,BUY,23766.88,23658.89,23874.87,23658.23,-1.0061,0.2459,-0.9969,VWAPX,14,1,USOverlap,-0.3786,3.2729,1.1214,1.1555,76.4000,0.9309,0.9465,1
1758294000,1758297692,BUY,23640.88,23596.78,23684.98,23685.53,1.0125,0.9671,-0.1213,VWAPX,12,5,Midday,-1.5172,2.4476,-0.0172,0.7748,78.4000,1.4722,0.9486,1
1759156200,1759158780,BUY,23763.18,23739.44,23786.92,23736.63,-1.1184,0.9878,-0.9078,VWAPX,11,1,Midday,-1.2701,1.7449,0.2299,1.8533,68.0000,0.7884,1.6970,1
1761131701,1761132667,BUY,24269.40,24245.38,24293.42,24295.05,1.0679,0.9846,-0.8472,VWAPX,8,3,London,-1.3022,1.6774,0.1978,0.1132,64.4000,0.3679,0.9782,1
1761563700,1761564932,BUY,24292.08,24264.90,24319.26,24264.53,-1.0136,0.6420,-0.9768,VWAPX,8,1,London,-1.2382,1.7847,0.2618,1.1157,66.8000,0.8408,0.9964,1
1761651900,1761653420,BUY,24244.48,24190.41,24298.55,24299.13,1.0107,0.9922,-0.0989,VWAPX,8,2,London,-0.4373,2.2375,1.0627,-1.1331,47.4000,0.4396,1.1652,1
1762870501,1762875380,BUY,23985.44,23953.79,24017.09,24017.09,1.0000,0.9937,-0.6114,VWAPX,11,2,Midday,-0.8846,1.6059,0.6154,0.8978,49.6000,0.7040,1.1408,1
1765215900,1765216532,BUY,24046.78,24031.86,24061.70,24029.23,-1.1763,0.2983,-0.9082,VWAPX,14,1,USOverlap,-1.3341,1.6413,0.1659,2.1017,55.6000,0.8114,1.0174,1
1765823400,1765828360,BUY,24283.08,24177.77,24388.39,24177.53,-1.0023,0.0000,-0.9928,VWAPX,15,1,USOverlap,0.2601,2.7807,1.7601,-0.0559,78.4000,0.3917,0.8248,1
1766150101,1766155834,BUY,24207.75,24173.44,24242.06,24242.90,1.0245,0.9953,-0.6368,VWAPX,10,5,London,-0.9338,1.5727,0.5662,2.2491,84.4000,0.5178,1.3572,1
