time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
1708424100,1708524882,BUY,17070.58,16979.58,17161.58,17161.63,1.0005,0.9896,-0.4896,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1709651700,1709658019,BUY,17729.78,17649.00,17758.62,17759.23,0.3646,0.3522,-0.2296,VPPOC,2,12,Midday,VPPOC_REJECT_LONG
1710860400,1710968439,BUY,18011.18,17906.77,18115.59,18115.97,1.0036,0.9994,-0.4171,VPPOC,2,12,Midday,VPPOC_REJECT_LONG
1713434400,1713499735,BUY,17898.28,17687.75,18108.81,17684.33,-1.0162,0.0819,-0.9806,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1713780000,1713896220,BUY,17908.18,17628.10,18188.26,18188.83,1.0020,0.9985,-0.3394,VPPOC,1,7,Frankfurt,VPPOC_REJECT_LONG
1716396300,1716411807,BUY,18731.58,18613.88,18849.28,18613.03,-1.0072,0.0081,-0.9987,VPPOC,3,13,USOverlap,VPPOC_REJECT_LONG
1717071301,1717195974,BUY,18505.38,18414.89,18595.87,18595.96,1.0010,0.9994,-0.7885,VPPOC,4,9,London,VPPOC_REJECT_LONG
1718626500,1718908502,BUY,18044.28,17909.27,18265.16,18265.23,1.6365,1.6336,-0.4426,VPPOC,1,9,London,VPPOC_REJECT_LONG
1719339300,1719372471,BUY,18172.78,18044.93,18219.42,18219.93,0.3688,0.3610,-0.1138,VPPOC,2,15,USOverlap,VPPOC_REJECT_LONG
1721155500,1721162910,BUY,18540.93,18424.87,18572.83,18573.48,0.2805,0.2718,-0.1159,VPPOC,2,15,USOverlap,VPPOC_REJECT_LONG
1722960900,1722980064,BUY,17262.53,17081.15,17443.91,17444.08,1.0009,0.9954,-0.1569,VPPOC,2,13,USOverlap,VPPOC_REJECT_LONG
1725375600,1725382290,BUY,18892.78,18796.02,18989.54,18795.23,-1.0082,0.0873,-0.9978,VPPOC,2,12,Midday,VPPOC_REJECT_LONG
1725886800,1725979084,BUY,18450.28,18353.42,18585.37,18352.73,-1.0071,0.7208,-0.9555,VPPOC,1,10,London,VPPOC_REJECT_LONG
1726052401,1726071355,BUY,18362.28,18246.90,18446.78,18447.73,0.7406,0.7319,-0.7215,VPPOC,3,8,London,VPPOC_REJECT_LONG
1727091000,1727171340,BUY,18802.78,18654.05,18984.49,18984.53,1.2220,1.2153,-0.3735,VPPOC,1,8,London,VPPOC_REJECT_LONG
1729074600,1729180869,BUY,19476.03,19341.64,19610.42,19610.93,1.0038,0.9964,-0.5015,VPPOC,3,7,Frankfurt,VPPOC_REJECT_LONG
1729688400,1729717707,BUY,19435.28,19319.39,19551.17,19318.73,-1.0057,0.2800,-0.9884,VPPOC,3,10,London,VPPOC_REJECT_LONG
1729851300,1729857385,BUY,19407.38,19301.40,19440.59,19440.83,0.3156,0.3062,-0.2128,VPPOC,5,7,Frankfurt,VPPOC_REJECT_LONG
1730466900,1730888876,BUY,19167.23,19052.02,19510.88,19511.18,2.9854,2.9802,-0.7287,VPPOC,5,10,London,VPPOC_REJECT_LONG
1733855400,1733940695,BUY,20379.43,20262.65,20424.15,20425.18,0.3918,0.3746,-0.6195,VPPOC,2,15,USOverlap,VPPOC_REJECT_LONG
1735297200,1735530730,BUY,19886.33,19766.35,20006.31,20006.78,1.0039,0.9956,-0.0704,VPPOC,5,8,London,VPPOC_REJECT_LONG
1738001700,1738017966,BUY,21330.93,21210.33,21376.53,21376.58,0.3785,0.3702,-0.3760,VPPOC,1,15,USOverlap,VPPOC_REJECT_LONG
1740478500,1740571487,BUY,22429.18,22145.01,22713.35,22715.63,1.0080,0.9939,-0.2952,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1740740400,1740767681,BUY,22447.73,22252.06,22549.56,22550.08,0.5231,0.5187,-0.3751,VPPOC,5,8,London,VPPOC_REJECT_LONG
1741104900,1741176085,BUY,22539.78,22278.24,23173.11,23173.13,2.4216,2.4178,-0.8127,VPPOC,2,13,USOverlap,VPPOC_REJECT_LONG
1741882501,1741931837,BUY,22569.73,22272.86,22652.79,22652.98,0.2804,0.2771,-0.4985,VPPOC,4,13,USOverlap,VPPOC_REJECT_LONG
1743612300,1743635605,BUY,22278.58,22000.10,22557.06,22560.88,1.0137,0.9886,-0.1277,VPPOC,3,13,USOverlap,VPPOC_REJECT_LONG
1746033300,1746157397,BUY,22342.28,21925.50,22759.06,22759.48,1.0010,0.9996,-0.0685,VPPOC,3,14,USOverlap,VPPOC_REJECT_LONG
1746698400,1747019742,BUY,23260.98,22916.81,23605.15,23686.78,1.2372,0.8189,-0.0771,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1747235700,1747303979,BUY,23578.98,23359.28,23798.68,23359.23,-1.0002,0.1841,-0.9911,VPPOC,3,12,Midday,VPPOC_REJECT_LONG
1747913400,1748011478,BUY,23962.08,23731.56,24192.60,23728.58,-1.0129,0.8140,-0.9947,VPPOC,4,8,London,VPPOC_REJECT_LONG
1748865600,1748979111,BUY,23931.58,23739.46,24123.70,24124.53,1.0043,0.9991,-0.9762,VPPOC,1,9,London,VPPOC_REJECT_LONG
1749653100,1749700302,BUY,24038.18,23808.14,24268.22,23808.08,-1.0003,0.5403,-0.9985,VPPOC,3,11,Midday,VPPOC_REJECT_LONG
1750161600,1750202643,BUY,23458.23,23266.70,23649.76,23265.94,-1.0040,0.5341,-0.9883,VPPOC,2,9,London,VPPOC_REJECT_LONG
1751369400,1751395094,BUY,23862.98,23665.42,23929.09,23664.63,-1.0040,0.0995,-0.9989,VPPOC,2,8,London,VPPOC_REJECT_LONG
1751633100,1751890401,BUY,23776.58,23584.49,23928.90,23929.23,0.7947,0.7895,-0.2725,VPPOC,5,9,London,VPPOC_REJECT_LONG
1752603300,1752742318,BUY,24099.18,23923.65,24256.97,24260.78,0.9206,0.8922,-0.9836,VPPOC,2,15,USOverlap,VPPOC_REJECT_LONG
1753464600,1753473661,BUY,24171.98,24009.38,24264.40,24264.63,0.5698,0.5637,-0.1067,VPPOC,5,14,USOverlap,VPPOC_REJECT_LONG
1753783200,1753795730,BUY,24047.08,23791.14,24303.02,24303.93,1.0036,0.9996,0.0000,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1754995500,1755070534,BUY,24112.98,23909.29,24175.76,24181.18,0.3348,0.3054,-0.8167,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1755533700,1756179546,BUY,24319.68,24134.70,24504.66,24133.74,-1.0052,0.7433,-0.9878,VPPOC,1,13,USOverlap,VPPOC_REJECT_LONG
1756980000,1756991684,BUY,23617.29,23452.95,23781.63,23782.44,1.0049,0.9988,-0.0861,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1757609100,1758038386,BUY,23719.37,23549.25,23889.49,23541.73,-1.0442,0.8180,-0.9972,VPPOC,4,13,USOverlap,VPPOC_REJECT_LONG
1758822300,1758829569,BUY,23543.76,23401.35,23582.45,23585.41,0.2925,0.2714,-0.1148,VPPOC,4,14,USOverlap,VPPOC_REJECT_LONG
1759753800,1759766946,BUY,24409.48,24240.97,24481.39,24481.93,0.4299,0.4240,-0.2169,VPPOC,1,9,London,VPPOC_REJECT_LONG
1760608800,1760671415,BUY,24226.73,24034.05,24419.41,24033.59,-1.0024,0.3789,-0.9998,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1761229802,1761534938,BUY,24153.30,23956.48,24338.56,24383.80,1.1711,0.8249,-0.3397,VPPOC,4,11,Midday,VPPOC_REJECT_LONG
1763566200,1763658192,BUY,23266.95,23023.90,23510.00,23510.85,1.0035,0.9953,-0.4334,VPPOC,3,12,Midday,VPPOC_REJECT_LONG
1763739900,1764096647,BUY,23250.00,22981.00,23519.00,23519.81,1.0030,0.9993,-0.6779,VPPOC,5,12,Midday,VPPOC_REJECT_LONG
1765366200,1765390411,BUY,24076.11,23915.50,24129.92,24130.76,0.3403,0.3340,-0.3073,VPPOC,3,8,London,VPPOC_REJECT_LONG
1766074500,1766083180,BUY,24095.85,23939.93,24251.77,24252.50,1.0047,0.9983,-0.1113,VPPOC,4,13,USOverlap,VPPOC_REJECT_LONG
