time,open,high,low,close,tick_volume,spread,real_volume
2024-03-12 07:45:00,17870.95,17871.95,17868.95,17870.95,41,210,0
2024-03-12 08:00:00,17870.95,17881.95,17870.95,17880.95,62,210,0
2024-03-12 08:15:00,17880.95,17881.95,17877.95,17878.95,53,210,0
2024-03-12 08:30:00,17878.95,17882.95,17878.95,17881.95,45,210,0
2024-03-12 08:45:00,17882.95,17888.45,17882.95,17886.95,60,210,0
2024-03-12 09:00:00,17886.95,17886.95,17875.95,17878.95,111,210,0
2024-03-12 09:15:00,17878.45,17882.95,17875.45,17877.95,127,210,0
2024-03-12 09:30:00,17877.95,17888.95,17877.95,17885.95,78,210,0
2024-03-12 09:45:00,17884.95,17903.95,17873.95,17880.2,155,210,0
2024-03-12 10:00:00,17880.95,17883.75,17864.75,17867.75,231,50,0
2024-03-12 10:15:00,17867.75,17869.75,17843.75,17848.75,132,50,0
2024-03-12 10:30:00,17848.75,17850.75,17840.75,17840.75,110,50,0
2024-03-12 10:45:00,17840.75,17849.75,17829.75,17829.75,169,50,0
2024-03-12 11:00:00,17830.75,17846.75,17813.75,17820.75,549,50,0
2024-03-12 11:15:00,17820.75,17825.75,17811.75,17812.75,429,50,0
2024-03-12 11:30:00,17812.75,17828.75,17805.75,17824.75,364,50,0
2024-03-12 11:45:00,17824.75,17832.75,17819.75,17821.75,301,50,0
2024-03-12 12:00:00,17820.75,17829.75,17813.75,17818.75,281,50,0
2024-03-12 12:15:00,17818.75,17834.75,17813.75,17834.75,275,50,0
2024-03-12 12:30:00,17834.75,17844.75,17831.75,17833.75,206,50,0
2024-03-12 12:45:00,17834.75,17838.75,17815.75,17816.75,260,50,0
2024-03-12 13:00:00,17815.75,17832.75,17812.75,17827.75,312,50,0
2024-03-12 13:15:00,17827.75,17839.75,17822.75,17832.75,273,50,0
2024-03-12 13:30:00,17832.75,17850.75,17826.75,17842.75,279,50,0
2024-03-12 13:45:00,17842.75,17849.75,17835.75,17841.75,238,50,0
2024-03-12 14:00:00,17842.75,17847.75,17834.75,17840.75,220,50,0
2024-03-12 14:15:00,17840.75,17844.75,17833.75,17838.75,194,50,0
2024-03-12 14:30:00,17838.75,17854.75,17838.75,17853.75,221,50,0
2024-03-12 14:45:00,17853.75,17855.75,17836.75,17840.75,214,50,0
2024-03-12 15:00:00,17840.75,17849.75,17836.75,17839.75,262,50,0
2024-03-12 15:15:00,17838.75,17840.75,17826.95,17826.95,303,50,0
2024-03-12 15:30:00,17826.95,17873.75,17776.55,17868.75,982,50,0
2024-03-12 15:45:00,17871.75,17880.75,17836.75,17844.75,527,50,0
2024-03-12 16:00:00,17844.75,17850.75,17832.75,17848.75,493,50,0
2024-03-12 16:15:00,17848.75,17864.75,17838.75,17863.75,442,50,0
2024-03-12 16:30:00,17862.75,17870.75,17827.75,17828.75,582,50,0
2024-03-12 16:45:00,17829.75,17866.75,17809.75,17866.75,455,50,0
2024-03-12 17:00:00,17865.75,17867.75,17847.75,17866.75,444,50,0
2024-03-12 17:15:00,17867.75,17888.75,17865.75,17887.75,412,50,0
2024-03-12 17:30:00,17887.75,17900.75,17883.75,17900.75,357,50,0
2024-03-12 17:45:00,17899.75,17913.75,17894.75,17900.75,359,50,0
2024-03-12 18:00:00,17900.75,17931.75,17895.45,17931.75,329,50,0
2024-03-12 18:15:00,17930.75,17955.75,17929.75,17950.75,364,50,0
2024-03-12 18:30:00,17950.75,17983.25,17945.75,17972.25,440,50,0
2024-03-12 18:45:00,17972.25,18001.75,17970.25,17999.75,404,50,0
2024-03-12 19:00:00,17999.75,18002.75,17984.75,18000.75,316,50,0
2024-03-12 19:15:00,18000.75,18008.75,17998.75,18002.75,221,50,0
2024-03-12 19:30:00,18003.75,18004.75,17986.75,17987.75,226,50,0
2024-03-12 19:45:00,17987.75,17987.75,17975.75,17980.75,265,50,0
2024-03-12 20:00:00,17981.75,17985.75,17965.75,17974.75,314,50,0
2024-03-12 20:15:00,17974.75,17994.55,17972.75,17987.75,258,50,0
2024-03-12 20:30:00,17987.75,18001.75,17986.75,18000.75,209,50,0
2024-03-12 20:45:00,18000.75,18004.55,17994.75,17999.75,157,50,0
2024-03-12 21:00:00,18000.75,18010.75,17998.75,18001.75,187,50,0
2024-03-12 21:15:00,18001.75,18020.75,18000.75,18019.75,134,50,0
2024-03-12 21:30:00,18019.75,18023.75,18005.75,18006.75,184,50,0
2024-03-12 21:45:00,18007.75,18021.75,18006.75,18019.75,189,50,0
2024-03-12 22:00:00,18018.75,18024.75,18014.75,18022.75,154,50,0
2024-03-12 22:15:00,18023.75,18023.75,18013.75,18021.75,166,50,0
2024-03-12 22:30:00,18021.75,18021.75,18010.75,18013.75,170,50,0
2024-03-12 22:45:00,18012.75,18016.75,18009.75,18014.75,203,50,0
2024-03-12 23:00:00,18015.75,18022.75,18013.75,18018.75,88,50,0
2024-03-12 23:15:00,18018.75,18018.75,18012.75,18017.75,42,50,0
2024-03-12 23:30:00,18017.75,18025.75,18016.75,18024.75,57,50,0
2024-03-12 23:45:00,18023.75,18028.75,18021.75,18024.85,79,50,0
2024-03-13 03:15:00,18027.85,18037.95,18027.85,18033.45,97,210,0
2024-03-13 03:30:00,18033.45,18033.45,18011.95,18013.95,125,210,0
2024-03-13 03:45:00,18013.95,18018.95,18006.95,18008.95,124,210,0
2024-03-13 04:00:00,18008.95,18008.95,18000.95,18000.95,128,210,0
2024-03-13 04:15:00,18000.45,18006.95,17999.95,18006.95,141,210,0
2024-03-13 04:30:00,18006.95,18007.95,17996.95,17997.95,178,210,0
